:START_ID,:END_ID,:TYPE
http://example.org/relic/r-006,http://example.org/museum/m-006,collectedBy
http://example.org/relic/r-002,http://example.org/period/唐代,belongsTo
http://example.org/relic/r-008,http://example.org/museum/m-002,collectedBy
http://example.org/relic/r-002,http://example.org/museum/m-002,collectedBy
http://example.org/relic/r-007,http://example.org/period/汉代,belongsTo
http://example.org/relic/r-007,http://example.org/museum/m-001,collectedBy
http://example.org/relic/r-004,http://example.org/museum/m-004,collectedBy
http://example.org/relic/r-005,http://example.org/museum/m-005,collectedBy
http://example.org/relic/r-008,http://example.org/period/元代,belongsTo
http://example.org/relic/r-010,http://example.org/period/唐代,belongsTo
http://example.org/relic/r-003,http://example.org/period/宋代,belongsTo
http://example.org/relic/r-001,http://example.org/museum/m-001,collectedBy
http://example.org/relic/r-009,http://example.org/period/西周,belongsTo
http://example.org/relic/r-004,http://example.org/period/明代,belongsTo
http://example.org/relic/r-006,http://example.org/period/战国,belongsTo
http://example.org/relic/r-005,http://example.org/period/清代,belongsTo
http://example.org/relic/r-010,http://example.org/museum/m-004,collectedBy
http://example.org/relic/r-003,http://example.org/museum/m-003,collectedBy
http://example.org/relic/r-009,http://example.org/museum/m-003,collectedBy
http://example.org/relic/r-001,http://example.org/period/商代,belongsTo
