:ID,:LABEL
http://example.org/period/明代,Period
https://www.britishmuseum.org,Entity
http://example.org/relic/r-004,Relic
http://example.org/period/商代,Period
https://example.com/r5,Entity
https://example.com/relic4.jpg,Entity
https://www.louvre.fr,Entity
http://example.org/relic/r-001,Relic
http://example.org/museum/m-003,Museum
http://example.org/relic/r-002,Relic
http://example.org/museum/m-002,Museum
http://schema.org/Thing,Entity
http://example.org/period/唐代,Period
https://example.com/r1,Entity
https://example.com/relic3.jpg,Entity
http://example.org/period/清代,Period
https://www.metmuseum.org,Entity
http://example.org/museum/m-001,Museum
http://example.org/museum/m-004,Museum
https://example.com/relic1.jpg,Entity
https://example.com/relic2.jpg,Entity
http://schema.org/CreativeWork,Entity
https://example.com/r3,Entity
http://example.org/relic/r-003,Relic
https://example.com/r2,Entity
https://example.com/relic5.jpg,Entity
http://example.org/relic/r-005,Relic
http://example.org/period/宋代,Period
http://schema.org/Museum,Entity
https://example.com/r4,Entity
https://www.tnm.jp,Entity
